───────────────────────────────────────────────────────────────────
─██████████████─██████████████─██████████████████─██████████████───
─██░░░░░░░░░░░██─██░░░░░░░░░░░██─██░░░░░░░░░░░░░░██─██░░░░░░░░░░░██───
─██░░██████████─██░░██████████─████████████░░░░██─██░░██████░░░██───
─██░░██─────────██░░██─────────────────████░░████─██░░██──██░░░██───
─██░░██████████─██░░██───────────────████░░████───██░░██████░░░████─
─██░░░░░░░░░░░██─██░░██─────────────████░░████─────██░░░░░░░░░░░░░██─
─██░░██████████─██░░██───────────████░░████───────██░░████████░░░██─
─██░░██─────────██░░██─────────████░░████─────────██░░██────██░░░██─
─██░░██─────────██░░██████████─██░░░░████████████─██░░████████░░░██─
─██░░██─────────██░░░░░░░░░░░██─██░░░░░░░░░░░░░░░██─██░░░░░░░░░░░░░██─
─██████─────────██████████████─██████████████████─████████████████─
───────────────────────────────────────────────────────────────────

更新公告,#genre#
🔔更新日期20260305,https://txmov2.a.kwimgs.com/upic/2025/11/17/20/BMjAyNTExMTcyMDQ1NTBfNjQ4ODU0MTg5XzE4MDE0NTk5NjExNF8yXzM=_b_Bb77c164111552cabaf80f113ef7a3eec.mp4
🔔免费测试请勿购买,https://txmov2.a.kwimgs.com/upic/2025/11/18/19/BMjAyNTExMTgxOTE2MjZfNjQ4ODU0MTg5XzE4MDIxMTYzMjI0Nl8yXzM=_b_B9692f465e605920017569b37b907240f.mp4
🔔蜂巢直播TV v6.7.6,https://cfss.cc/api/kg/596344.mp4
🈲禁止商用自行删除🈲,https://txmov2.a.kwimgs.com/upic/2025/11/17/20/BMjAyNTExMTcyMDUxMjBfNjQ4ODU0MTg5XzE4MDE0NjQ1NTQ1OF8yXzM=_b_Bffd45c49abf110cb43f5ad56563ac11e.mp4

🔥更多软件此处更新下载https://pan.ymxx.net/f/wbqHA/%E6%9B%B4%E5%A4%9A%E8%BD%AF%E4%BB%B6.mp4
❌勿信任何广告,https://cfss.cc/api/kg/589001.mp4
❌勿信赞赏码,https://vd3.bdstatic.com/mda-mbiqgzsnfeyv74y6/v1-cae/1080p/mda-mbiqgzsnfeyv74y6.mp4

重温经典,http://101.35.240.114:88/live.php?id=重温经典
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
五星体育,http://101.35.240.114:88/live.php?id=五星体育

陆家嘴,https://tftp4ge3drmt1go5nhcju8yzdrptpptwzc3jpq731h45mqpssqmudp7so.100ycdn.com/live-ws.kksmg.com/live/sdi5/playlist.m3u8?wsSession=8a15d23fe661e20e47cce670-177203770982085&wsIPSercert=832abf7ce82ccc02b32b56b105f24835&wsBindIP=2&wsserid=1168187559701054860
陆家嘴,video://https://live.kankanews.com/live/8029037XEw6
陆家嘴,webview://https://live.kankanews.com/live/8029037XEw6
魔都眼,https://tftp0gaa1hcjagozdcmttgyan45djq311475uf3issh5pchzgg55p.100ycdn.com/live-ws.kksmg.com/live/sdi6/playlist.m3u8?wsSession=5b0157b25e26fa5fbe3ebedf-177204125960201&wsIPSercert=832abf7ce82ccc02b32b56b105f24835&wsBindIP=2&wsserid=1168218615997031039
外滩观光平台,https://tftp1go3nhqbtfa3d1mtugessa4mscwszqh3qppizg5m8f3ts65e.100ycdn.com/live-ws.kksmg.com/live/sdi4/playlist.m3u8?wsSession=e18328672261b2e3fcadcc17-177204266364389&wsIPSercert=832abf7ce82ccc02b32b56b105f24835&wsBindIP=2&wsserid=1168276898037564649
北外滩,https://tftp6graunmttghanhctofa3uymmcpf5gkmmzqczgs45upiu1ha5xpw.100ycdn.com/live-ws.kksmg.com/live/webcam1/playlist.m3u8?wsSession=3ccfdb4284eaea73bb7cab60-177204275008725&wsIPSercert=832abf7ce82ccc02b32b56b105f24835&wsBindIP=2&wsserid=1168218612390266553
外白渡桥,https://live-ws.kksmg.com/live/webcam2/playlist.m3u8?wsSecret=562b2628ac8a5ad24b207d2e7cff51a3&wsTime=1772124166



没有共产党就没有新中国,https://res.mq-link.com:4438/webapi/filestore/29c94d7dc5eb7b679c1abe4ac9927905258e014e.mp4?type=video&docid=50ea69&name=%E6%B2%A1%E6%9C%89%E5%85%B1%E4%BA%A7%E5%85%9A%E5%B0%B1%E6%B2%A1%E6%9C%89%E6%96%B0%E4%B8%AD%E5%9B%BD.mp4
义勇軍进行曲,https://res.mq-link.com:4438/webapi/filestore/a0e982bdd91a3fe2021714aa842d246d6051b28e.mp4?type=video&docid=750fff&name=%E4%B9%89%E5%8B%87%E5%86%9B%E8%BF%9B%E8%A1%8C%E6%9B%B2.mp4
社会主义好,https://res.mq-link.com:4438/webapi/filestore/a7b2316f72bed6d626ecc01328faa83c85756c45.mp4?type=video&docid=88bf27&name=%E7%A4%BE%E4%BC%9A%E4%B8%BB%E4%B9%89%E5%A5%BD.mp4
歌唱祖国,https://res.mq-link.com:4438/webapi/filestore/7c60661e08014bcc51cf7f395622c52309c0037a.mp4?type=video&docid=af123c&name=%E6%AD%8C%E5%94%B1%E7%A5%96%E5%9B%BD.mp4
我们走在大路上,https://res.mq-link.com:4438/webapi/filestore/1da7c0cd431c9219abc0fe7ad79196522315ad14.mp4?type=video&docid=fd68b3&name=%E6%88%91%E4%BB%AC%E8%B5%B0%E5%9C%A8%E5%A4%A7%E8%B7%AF%E4%B8%8A.mp4
爱的传说邰正宵,https://vd2.bdstatic.com/mda-refjgvx7nhrha8js/cae_h264/1747403357338896764/mda-refjgvx7nhrha8js.mp4
《我想有个家》1潘美辰,https://txmov2.a.kwimgs.com/upic/2025/11/18/22/BMjAyNTExMTgyMjQ3MTVfNjQ4ODU0MTg5XzE4MDIyODg1MjMzNF8yXzM=_b_Bb5d41a2406bf7df789775bba73557ae8.mp4
《我想有个家》2潘美辰,https://txmov2.a.kwimgs.com/upic/2025/11/18/22/BMjAyNTExMTgyMjUzNDFfNjQ4ODU0MTg5XzE4MDIyOTI2MTc3OF8yXzM=_b_B3bc4fd4526dc0eb2eab3ed7e8605446f.mp4
王菲-执迷不悔,http://vodcdn.video.taobao.com/oss/ali-video/15bf7da88b44048edaabe73d6b17c00b/video.m3u8
我的好兄弟,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c171e907fbe0010370019933a69c19_258.mp4
泡沫,https://alimov2.a.kwimgs.com/upic/2023/08/19/20/BMjAyMzA4MTkyMDE2MzZfMzM5Njk4MTMyNl8xMTA5MDEwNzA2NDJfMF8z_b_Bdc4b6f3b05140acd82a8c7c5cfbad250.mp4
制造浪漫,https://vd3.bdstatic.com/mda-qmr9cb6j6nscc3py/720p/bd265_cae_roi_v7/1735283332634389389/mda-qmr9cb6j6nscc3py.mp4?cd=1&hit_bd265_src=1&mpd=1&pd=19&logid=3736854371661625262&vt=1&svt=1&cr_max=3&s_score=5.613500&pt=0&av=17.8&vid=9965751319963505665&mvt=1&did=0be5c58b3360158266b1c9636f710237&cr=2&h265_s=1&sl=393&sle=1&split=713128

每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8
长江烟花秀,https://video.cjyun.org/fs/record/20250912/3b3/ts/index.m3u8
变形金刚_4K,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/uhd/cae_h264_delogo/1649341416749683469/mda-nd6k8tnavw6sj0a5.mp4


🎈9月3号阅兵回放,https://vip.dytt-cine.com/20250903/54616_ce842c8a/index.m3u8
🎈9月3号阅兵回放,https://vvip.high26-playback.com/20250903/20785_ad349260/index.m3u8
🎈9月3号阅兵回放,https://vd3.bdstatic.com/mda-ri283wyxe135szm5/576p/h264/1756880513304056354/mda-ri283wyxe135szm5.mp4
🎈9月3号阅兵回放,https://vd3.bdstatic.com/mda-ri2b90is4f6p4shy/cae_h264/1756888200825139529/mda-ri2b90is4f6p4shy.mp4
2019年国庆70周年阅兵,https://vodcnd11.rsfcxq.com/20250902/BM9AcAeq/index.m3u8
2015年抗战70周年阅兵,https://vodcnd11.rsfcxq.com/20250902/tLKkH9fN/index.m3u8
2009年国庆60周年阅兵,https://vodcnd11.rsfcxq.com/20250902/VPoOzOa4/index.m3u8
1999年国庆50周年阅兵,https://vodcnd11.rsfcxq.com/20250902/nmbxS9bN/index.m3u8
1984年国庆35周年阅兵,https://vodcnd11.rsfcxq.com/20250902/zc4ZGGYY/index.m3u8
